co2_id,date,site_depart,site_arrivee,mode_transport,distance_km,masse_t,co2_kg,co2_kg_baseline,reduction_pct,fe_kg_co2_t_km,conforme_iso14001,produit
CO2-0221,2024-01-21,Youssoufia,Benguerir,Route,622,249.1,16113.78,22644.61,28.8,0.104,True,Urée
CO2-0222,2025-01-27,Youssoufia,Benguerir,Maritime,241,472.0,796.26,996.73,20.1,0.007,True,Phosphate brut
CO2-0223,2024-03-12,Safi,Benguerir,Route,95,220.8,2013.7,2596.27,22.4,0.096,True,DAP
CO2-0224,2025-02-20,Casablanca Port,Laayoune,Maritime,900,82.4,519.12,696.94,25.5,0.007,True,DAP
CO2-0225,2024-09-19,Laayoune,Benguerir,Maritime,101,393.4,278.13,356.89,22.1,0.007,True,Urée
CO2-0226,2024-03-15,Safi,Jorf Lasfar,Maritime,75,269.3,141.38,175.42,19.4,0.007,True,TSP
CO2-0227,2024-02-13,Safi,Khouribga,Rail,155,439.9,1704.61,2355.92,27.6,0.025,True,Phosphate brut
CO2-0228,2024-01-22,Benguerir,Jorf Lasfar,Route,110,62.4,713.86,953.15,25.1,0.104,True,NPS
CO2-0229,2024-05-16,Khouribga,Safi,Maritime,155,68.0,73.78,108.36,31.9,0.007,True,Acide phosphorique
CO2-0230,2025-03-03,Benguerir,Safi,Rail,95,226.3,537.46,679.45,20.9,0.025,True,MAP
CO2-0231,2024-04-20,Safi,Laayoune,Route,514,386.3,20650.05,29269.64,29.4,0.104,True,Acide phosphorique
CO2-0232,2025-03-06,Benguerir,Laayoune,Rail,198,136.2,674.19,810.2,16.8,0.025,True,NPS
CO2-0233,2025-03-03,Laayoune,Youssoufia,Route,385,134.0,4952.64,7220.11,31.4,0.096,True,TSP
CO2-0234,2024-04-06,Safi,Khouribga,Rail,155,329.7,1124.28,1370.15,17.9,0.022,True,Sulfate d'ammonium
CO2-0235,2024-02-06,Safi,Laayoune,Maritime,98,310.7,213.14,293.62,27.4,0.007,True,MAP
CO2-0236,2024-01-13,Laayoune,Benguerir,Route,667,107.3,6870.63,9963.3,31.0,0.096,True,NPS
CO2-0237,2025-03-20,Benguerir,Casablanca Port,Rail,492,383.0,4145.59,5879.78,29.5,0.022,True,Urée
CO2-0238,2024-08-18,Laayoune,Jorf Lasfar,Maritime,820,200.4,1314.62,1959.57,32.9,0.008,True,NPS
CO2-0239,2024-10-11,Khouribga,Casablanca Port,Route,120,276.9,3189.89,4474.61,28.7,0.096,True,Phosphate brut
CO2-0240,2025-01-23,Youssoufia,Safi,Maritime,60,161.3,77.42,116.95,33.8,0.008,True,Phosphate brut
CO2-0241,2024-06-22,Youssoufia,Benguerir,Rail,269,422.8,2843.33,3705.0,23.3,0.025,True,TSP
CO2-0242,2024-02-12,Laayoune,Safi,Route,657,288.7,19726.29,26487.21,25.5,0.104,True,DAP
CO2-0243,2024-12-21,Jorf Lasfar,Safi,Rail,75,327.3,540.04,792.42,31.8,0.022,True,DAP
CO2-0244,2025-03-12,Casablanca Port,Safi,Rail,847,123.6,2303.16,3523.98,34.6,0.022,True,Phosphate brut
CO2-0245,2024-10-08,Jorf Lasfar,Casablanca Port,Rail,95,341.7,714.15,1019.5,30.0,0.022,True,TSP
CO2-0246,2024-08-09,Casablanca Port,Jorf Lasfar,Rail,95,413.0,980.88,1461.32,32.9,0.025,True,Sulfate d'ammonium
CO2-0247,2025-03-15,Safi,Laayoune,Rail,225,453.1,2548.69,3602.58,29.3,0.025,True,Sulfate d'ammonium
CO2-0248,2024-10-05,Khouribga,Casablanca Port,Rail,120,303.4,800.98,1113.82,28.1,0.022,True,TSP
CO2-0249,2024-10-24,Safi,Laayoune,Route,175,396.1,6654.48,9319.73,28.6,0.096,True,Sulfate d'ammonium
CO2-0250,2025-03-12,Safi,Laayoune,Rail,929,124.0,2879.9,3941.65,26.9,0.025,True,Urée
CO2-0251,2025-02-14,Khouribga,Laayoune,Maritime,229,387.9,621.8,814.43,23.7,0.007,True,Sulfate d'ammonium
CO2-0252,2024-07-26,Laayoune,Khouribga,Route,943,112.2,10157.24,13605.98,25.3,0.096,True,TSP
CO2-0253,2024-02-01,Youssoufia,Casablanca Port,Route,950,264.3,24104.16,36135.1,33.3,0.096,True,TSP
CO2-0254,2025-02-03,Safi,Youssoufia,Rail,60,340.5,510.75,690.53,26.0,0.025,True,Urée
CO2-0255,2024-10-27,Safi,Khouribga,Rail,155,420.2,1628.27,2241.09,27.3,0.025,True,MAP
CO2-0256,2024-01-20,Khouribga,Laayoune,Rail,913,313.7,6300.98,7666.85,17.8,0.022,True,MAP
CO2-0257,2024-03-03,Safi,Casablanca Port,Rail,706,331.2,5845.68,7614.36,23.2,0.025,True,MAP
CO2-0258,2024-05-17,Laayoune,Casablanca Port,Route,900,237.5,20520.0,30821.34,33.4,0.096,True,Phosphate brut
CO2-0259,2024-04-21,Laayoune,Jorf Lasfar,Route,820,217.3,18531.34,22563.85,17.9,0.104,True,Sulfate d'ammonium
CO2-0260,2025-01-19,Youssoufia,Laayoune,Route,356,28.1,960.35,1300.53,26.2,0.096,True,Acide phosphorique
CO2-0261,2024-04-18,Safi,Youssoufia,Rail,60,472.6,708.9,1030.82,31.2,0.025,True,Urée
CO2-0262,2025-03-07,Casablanca Port,Youssoufia,Maritime,220,185.4,326.3,482.77,32.4,0.008,True,NPS
CO2-0263,2024-05-05,Casablanca Port,Laayoune,Route,900,463.1,43346.16,60593.49,28.5,0.104,True,MAP
CO2-0264,2025-02-18,Laayoune,Benguerir,Rail,486,469.6,5705.64,7371.57,22.6,0.025,True,Phosphate brut
CO2-0265,2024-04-13,Youssoufia,Benguerir,Route,317,62.8,2070.39,3175.91,34.8,0.104,True,Sulfate d'ammonium
CO2-0266,2024-11-07,Benguerir,Laayoune,Rail,287,185.5,1171.25,1450.07,19.2,0.022,True,MAP
CO2-0267,2024-05-07,Safi,Khouribga,Rail,155,498.1,1698.52,2441.3,30.4,0.022,True,MAP
CO2-0268,2024-11-23,Jorf Lasfar,Youssoufia,Rail,90,74.1,166.72,213.95,22.1,0.025,True,Sulfate d'ammonium
CO2-0269,2024-09-24,Youssoufia,Jorf Lasfar,Route,90,295.2,2763.07,3679.29,24.9,0.104,True,Phosphate brut
CO2-0270,2024-08-26,Youssoufia,Jorf Lasfar,Rail,90,281.7,633.82,819.28,22.6,0.025,True,DAP
CO2-0271,2024-11-03,Casablanca Port,Youssoufia,Maritime,410,42.9,140.71,183.33,23.2,0.008,True,DAP
CO2-0272,2024-02-11,Laayoune,Khouribga,Route,362,156.7,5899.44,7567.67,22.0,0.104,True,Phosphate brut
CO2-0273,2024-03-25,Casablanca Port,Benguerir,Rail,487,245.8,2992.62,4562.82,34.4,0.025,True,NPS
CO2-0274,2024-05-24,Casablanca Port,Safi,Maritime,605,101.8,431.12,528.69,18.5,0.007,True,TSP
CO2-0275,2024-05-21,Casablanca Port,Khouribga,Route,120,302.7,3777.7,4668.55,19.1,0.104,True,Phosphate brut
CO2-0276,2024-09-21,Benguerir,Casablanca Port,Route,255,294.8,7818.1,11391.69,31.4,0.104,True,NPS
CO2-0277,2024-11-26,Laayoune,Casablanca Port,Maritime,900,230.2,1450.26,2180.18,33.5,0.007,True,Phosphate brut
CO2-0278,2024-05-17,Laayoune,Jorf Lasfar,Rail,820,427.1,7704.88,10711.55,28.1,0.022,True,Sulfate d'ammonium
CO2-0279,2024-12-15,Safi,Khouribga,Route,155,294.8,4386.62,6737.49,34.9,0.096,True,DAP
CO2-0280,2024-11-28,Safi,Laayoune,Maritime,637,365.2,1861.06,2495.63,25.4,0.008,True,MAP
CO2-0281,2025-01-20,Safi,Jorf Lasfar,Maritime,75,213.3,111.98,143.62,22.0,0.007,True,Urée
CO2-0282,2024-10-19,Jorf Lasfar,Youssoufia,Rail,90,387.0,870.75,1209.66,28.0,0.025,True,MAP
CO2-0283,2024-09-11,Casablanca Port,Youssoufia,Rail,309,322.0,2188.96,3143.04,30.4,0.022,True,MAP
CO2-0284,2024-09-17,Safi,Laayoune,Maritime,454,27.1,86.12,119.59,28.0,0.007,True,NPS
CO2-0285,2024-02-26,Khouribga,Laayoune,Route,494,293.3,13909.46,19236.69,27.7,0.096,True,TSP
CO2-0286,2024-12-20,Khouribga,Casablanca Port,Rail,120,292.6,772.46,1131.06,31.7,0.022,True,DAP
CO2-0287,2024-07-01,Jorf Lasfar,Casablanca Port,Maritime,95,347.3,263.95,356.46,26.0,0.008,True,Acide phosphorique
CO2-0288,2024-01-30,Laayoune,Jorf Lasfar,Rail,820,80.9,1658.45,2484.04,33.2,0.025,True,DAP
CO2-0289,2025-02-25,Jorf Lasfar,Laayoune,Maritime,820,337.9,1939.55,2621.5,26.0,0.007,True,Acide phosphorique
CO2-0290,2024-09-19,Jorf Lasfar,Benguerir,Maritime,110,163.1,125.59,187.9,33.2,0.007,True,MAP
CO2-0291,2025-02-27,Casablanca Port,Khouribga,Route,120,236.9,2729.09,3759.7,27.4,0.096,True,DAP
CO2-0292,2024-05-19,Casablanca Port,Laayoune,Route,900,191.3,17905.68,22961.32,22.0,0.104,True,Urée
CO2-0293,2024-05-25,Safi,Jorf Lasfar,Route,75,278.8,2174.64,2629.52,17.3,0.104,True,NPS
CO2-0294,2024-12-24,Benguerir,Jorf Lasfar,Rail,110,50.5,138.88,190.71,27.2,0.025,True,NPS
CO2-0295,2024-12-05,Safi,Casablanca Port,Rail,718,295.8,4672.46,6434.13,27.4,0.022,True,TSP
CO2-0296,2025-01-18,Laayoune,Youssoufia,Route,608,296.9,17329.46,26825.44,35.4,0.096,True,DAP
CO2-0297,2024-01-01,Laayoune,Casablanca Port,Maritime,900,347.2,2499.84,3348.56,25.3,0.008,True,TSP
CO2-0298,2024-07-28,Casablanca Port,Laayoune,Rail,900,44.9,889.02,1341.58,33.7,0.022,True,Sulfate d'ammonium
CO2-0299,2024-12-20,Laayoune,Safi,Route,825,317.4,27232.92,38104.78,28.5,0.104,True,DAP
CO2-0300,2024-05-16,Casablanca Port,Khouribga,Rail,120,451.9,1193.02,1756.64,32.1,0.022,True,Sulfate d'ammonium
CO2-0301,2025-02-10,Laayoune,Benguerir,Route,337,107.6,3481.08,4656.33,25.2,0.096,True,Urée
CO2-0302,2024-08-16,Youssoufia,Benguerir,Route,926,411.3,36562.92,46251.77,20.9,0.096,True,Phosphate brut
CO2-0303,2024-07-28,Casablanca Port,Youssoufia,Maritime,625,374.9,1640.19,2421.47,32.3,0.007,True,Phosphate brut
CO2-0304,2024-09-21,Laayoune,Youssoufia,Maritime,666,468.6,2496.7,3349.86,25.5,0.008,True,Acide phosphorique
CO2-0305,2024-09-19,Khouribga,Laayoune,Maritime,415,109.6,318.39,462.57,31.2,0.007,True,NPS
CO2-0306,2024-05-13,Youssoufia,Safi,Route,60,484.9,3025.78,4058.41,25.4,0.104,True,Phosphate brut
CO2-0307,2024-10-14,Laayoune,Casablanca Port,Rail,900,274.3,5431.14,6711.68,19.1,0.022,True,MAP
CO2-0308,2025-01-15,Jorf Lasfar,Laayoune,Route,820,195.6,16680.77,23046.61,27.6,0.104,True,Urée
CO2-0309,2025-01-13,Laayoune,Jorf Lasfar,Route,820,312.7,24615.74,36198.7,32.0,0.096,True,Acide phosphorique
CO2-0310,2024-04-03,Laayoune,Benguerir,Rail,87,113.2,216.66,326.55,33.7,0.022,True,MAP
CO2-0311,2024-02-06,Laayoune,Khouribga,Route,693,252.4,18190.97,23097.11,21.2,0.104,True,Sulfate d'ammonium
CO2-0312,2024-10-09,Jorf Lasfar,Youssoufia,Route,90,38.1,329.18,419.23,21.5,0.096,True,Acide phosphorique
CO2-0313,2024-09-11,Khouribga,Safi,Route,155,71.6,1065.41,1353.93,21.3,0.096,True,Phosphate brut
CO2-0314,2024-11-21,Casablanca Port,Youssoufia,Route,714,445.3,30522.64,41710.7,26.8,0.096,True,MAP
CO2-0315,2024-07-25,Youssoufia,Jorf Lasfar,Route,90,42.0,393.12,602.83,34.8,0.104,True,TSP
CO2-0316,2024-03-08,Casablanca Port,Laayoune,Rail,900,476.2,10714.5,12989.37,17.5,0.025,True,Sulfate d'ammonium
CO2-0317,2024-04-04,Youssoufia,Jorf Lasfar,Route,90,274.0,2564.64,3702.39,30.7,0.104,True,NPS
CO2-0318,2025-01-06,Jorf Lasfar,Khouribga,Maritime,180,420.8,605.95,728.57,16.8,0.008,True,Sulfate d'ammonium
CO2-0319,2024-09-27,Youssoufia,Benguerir,Maritime,619,287.7,1424.69,1910.18,25.4,0.008,True,TSP
CO2-0320,2024-09-09,Benguerir,Casablanca Port,Route,506,48.0,2525.95,3795.02,33.4,0.104,True,Urée
CO2-0321,2024-05-10,Laayoune,Safi,Maritime,532,154.2,656.28,819.28,19.9,0.008,True,Sulfate d'ammonium
CO2-0322,2024-09-20,Jorf Lasfar,Benguerir,Maritime,110,154.2,118.73,172.93,31.3,0.007,True,Urée
CO2-0323,2024-05-18,Benguerir,Safi,Maritime,95,314.6,209.21,287.81,27.3,0.007,True,Acide phosphorique
CO2-0324,2024-09-15,Jorf Lasfar,Khouribga,Rail,180,352.7,1587.15,1918.69,17.3,0.025,True,DAP
CO2-0325,2024-06-27,Khouribga,Youssoufia,Rail,900,167.3,3312.54,4654.83,28.8,0.022,True,Phosphate brut
CO2-0326,2024-03-30,Khouribga,Benguerir,Rail,80,441.1,776.34,1148.8,32.4,0.022,True,Sulfate d'ammonium
CO2-0327,2024-01-27,Khouribga,Benguerir,Rail,80,183.2,366.4,506.59,27.7,0.025,True,Urée
CO2-0328,2024-08-23,Jorf Lasfar,Laayoune,Rail,820,68.2,1230.33,1598.85,23.0,0.022,True,Urée
CO2-0329,2025-01-23,Safi,Casablanca Port,Maritime,813,255.5,1661.77,2554.28,34.9,0.008,True,Phosphate brut
CO2-0330,2024-08-15,Safi,Jorf Lasfar,Maritime,75,231.7,121.64,173.35,29.8,0.007,True,TSP
CO2-0331,2024-05-10,Casablanca Port,Khouribga,Rail,120,426.1,1124.9,1711.8,34.3,0.022,True,Acide phosphorique
CO2-0332,2024-05-14,Youssoufia,Khouribga,Maritime,303,406.6,985.6,1426.8,30.9,0.008,True,MAP
CO2-0333,2024-06-04,Casablanca Port,Youssoufia,Rail,936,50.2,1033.72,1459.93,29.2,0.022,True,DAP
CO2-0334,2024-01-07,Casablanca Port,Benguerir,Maritime,174,48.3,67.23,101.51,33.8,0.008,True,Phosphate brut
CO2-0335,2025-03-05,Safi,Benguerir,Route,95,117.9,1164.85,1586.66,26.6,0.104,True,DAP
CO2-0336,2024-03-08,Jorf Lasfar,Youssoufia,Route,90,269.0,2517.84,3607.57,30.2,0.104,True,TSP
CO2-0337,2024-07-21,Laayoune,Youssoufia,Route,571,242.8,13309.32,19450.1,31.6,0.096,True,Sulfate d'ammonium
CO2-0338,2024-04-30,Jorf Lasfar,Laayoune,Route,820,85.1,6699.07,10061.72,33.4,0.096,True,DAP
CO2-0339,2024-12-18,Benguerir,Youssoufia,Maritime,172,265.2,364.92,486.75,25.0,0.008,True,Phosphate brut
CO2-0340,2024-05-21,Casablanca Port,Khouribga,Route,120,283.7,3540.58,5138.8,31.1,0.104,True,MAP
CO2-0341,2024-06-16,Casablanca Port,Safi,Rail,144,239.4,758.42,962.75,21.2,0.022,True,Phosphate brut
CO2-0342,2024-01-23,Jorf Lasfar,Laayoune,Maritime,820,479.2,3143.55,4130.74,23.9,0.008,True,TSP
CO2-0343,2024-11-15,Youssoufia,Casablanca Port,Maritime,709,122.8,696.52,1050.73,33.7,0.008,True,MAP
CO2-0344,2024-02-28,Casablanca Port,Safi,Route,753,429.9,31076.61,44256.98,29.8,0.096,True,Phosphate brut
CO2-0345,2024-09-09,Jorf Lasfar,Casablanca Port,Rail,95,450.4,941.34,1344.86,30.0,0.022,True,Phosphate brut
CO2-0346,2024-08-27,Laayoune,Jorf Lasfar,Maritime,820,173.7,1139.47,1473.76,22.7,0.008,True,MAP
CO2-0347,2025-01-18,Safi,Laayoune,Maritime,554,373.8,1449.6,1850.56,21.7,0.007,True,Urée
CO2-0348,2024-07-16,Benguerir,Youssoufia,Rail,664,179.7,2983.02,4182.68,28.7,0.025,True,NPS
CO2-0349,2024-12-13,Jorf Lasfar,Laayoune,Maritime,820,106.6,611.88,863.52,29.1,0.007,True,NPS
CO2-0350,2024-05-05,Khouribga,Benguerir,Maritime,80,231.3,148.03,180.51,18.0,0.008,True,Phosphate brut
CO2-0351,2025-01-21,Casablanca Port,Jorf Lasfar,Route,95,273.0,2697.24,3915.23,31.1,0.104,True,Phosphate brut
CO2-0352,2025-03-09,Safi,Laayoune,Route,221,298.2,6326.61,9686.24,34.7,0.096,True,Phosphate brut
CO2-0353,2024-03-17,Youssoufia,Benguerir,Rail,911,344.1,7836.88,9773.77,19.8,0.025,True,Sulfate d'ammonium
CO2-0354,2024-05-14,Safi,Laayoune,Maritime,135,283.0,267.44,324.45,17.6,0.007,True,DAP
CO2-0355,2024-12-27,Benguerir,Casablanca Port,Route,701,409.2,29832.32,41213.9,27.6,0.104,True,NPS
CO2-0356,2024-10-16,Benguerir,Laayoune,Rail,789,375.2,6512.72,9336.45,30.2,0.022,True,Sulfate d'ammonium
CO2-0357,2024-02-17,Youssoufia,Benguerir,Maritime,627,209.3,918.62,1359.14,32.4,0.007,True,DAP
CO2-0358,2024-10-28,Youssoufia,Khouribga,Route,389,133.4,4981.69,7103.35,29.9,0.096,True,Sulfate d'ammonium
CO2-0359,2024-05-06,Khouribga,Jorf Lasfar,Rail,180,420.9,1894.05,2905.35,34.8,0.025,True,MAP
CO2-0360,2024-09-27,Khouribga,Benguerir,Maritime,80,100.4,56.22,80.53,30.2,0.007,True,MAP
CO2-0361,2025-02-01,Benguerir,Youssoufia,Route,363,333.8,12601.62,15972.53,21.1,0.104,True,Phosphate brut
CO2-0362,2025-01-23,Khouribga,Casablanca Port,Route,120,59.7,745.06,918.31,18.9,0.104,True,MAP
CO2-0363,2024-04-27,Youssoufia,Jorf Lasfar,Rail,90,92.4,207.9,257.89,19.4,0.025,True,TSP
CO2-0364,2024-04-18,Khouribga,Laayoune,Maritime,551,216.9,836.58,1019.56,17.9,0.007,True,MAP
CO2-0365,2024-05-20,Khouribga,Youssoufia,Route,492,70.2,3591.99,4363.0,17.7,0.104,True,DAP
CO2-0366,2025-02-15,Safi,Youssoufia,Maritime,60,337.6,141.79,207.86,31.8,0.007,True,Phosphate brut
CO2-0367,2024-08-16,Youssoufia,Casablanca Port,Maritime,827,122.8,710.89,995.36,28.6,0.007,True,Urée
CO2-0368,2024-05-18,Safi,Benguerir,Rail,95,26.4,55.18,75.01,26.4,0.022,True,Acide phosphorique
CO2-0369,2024-08-07,Laayoune,Jorf Lasfar,Rail,820,386.9,7931.45,10006.7,20.7,0.025,True,MAP
CO2-0370,2025-02-11,Benguerir,Khouribga,Maritime,80,209.5,134.08,167.49,19.9,0.008,True,Sulfate d'ammonium
CO2-0371,2024-04-14,Laayoune,Khouribga,Maritime,760,176.8,1074.94,1346.41,20.2,0.008,True,Acide phosphorique
CO2-0372,2024-05-30,Safi,Youssoufia,Rail,60,415.2,622.8,900.08,30.8,0.025,True,Sulfate d'ammonium
CO2-0373,2024-01-01,Benguerir,Laayoune,Route,939,399.7,39033.1,57842.24,32.5,0.104,True,Phosphate brut
CO2-0374,2025-03-29,Casablanca Port,Laayoune,Maritime,900,185.7,1337.04,1836.82,27.2,0.008,True,DAP
CO2-0375,2024-08-01,Laayoune,Khouribga,Rail,544,77.0,921.54,1167.37,21.1,0.022,True,Sulfate d'ammonium
CO2-0376,2024-04-11,Jorf Lasfar,Benguerir,Maritime,110,205.9,181.19,230.87,21.5,0.008,True,DAP
CO2-0377,2024-04-19,Benguerir,Khouribga,Maritime,80,95.0,53.2,82.28,35.3,0.007,True,DAP
CO2-0378,2024-06-28,Safi,Khouribga,Route,155,97.7,1453.78,2028.22,28.3,0.096,True,Acide phosphorique
CO2-0379,2024-03-07,Khouribga,Benguerir,Maritime,80,49.5,31.68,42.8,26.0,0.008,True,DAP
CO2-0380,2025-02-16,Safi,Youssoufia,Rail,60,432.8,571.3,815.55,29.9,0.022,True,MAP
CO2-0381,2024-01-06,Benguerir,Safi,Route,95,417.3,3805.78,4862.43,21.7,0.096,True,Acide phosphorique
CO2-0382,2024-10-09,Khouribga,Benguerir,Rail,80,28.1,56.2,85.3,34.1,0.025,True,Urée
CO2-0383,2024-08-27,Safi,Casablanca Port,Maritime,542,196.9,747.04,1059.32,29.5,0.007,True,Sulfate d'ammonium
CO2-0384,2024-10-15,Safi,Casablanca Port,Maritime,877,499.1,3063.97,3982.44,23.1,0.007,True,TSP
CO2-0385,2024-07-14,Youssoufia,Safi,Route,60,71.1,443.66,604.09,26.6,0.104,True,DAP
CO2-0386,2025-02-03,Khouribga,Youssoufia,Maritime,140,389.2,435.9,541.79,19.5,0.008,True,Phosphate brut
CO2-0387,2024-12-15,Khouribga,Laayoune,Route,647,130.3,8767.63,11744.45,25.3,0.104,True,MAP
CO2-0388,2024-01-11,Safi,Youssoufia,Route,60,40.5,252.72,348.98,27.6,0.104,True,Sulfate d'ammonium
CO2-0389,2024-03-25,Safi,Khouribga,Rail,155,34.6,117.99,181.82,35.1,0.022,True,DAP
CO2-0390,2024-12-17,Safi,Khouribga,Rail,155,40.4,137.76,170.21,19.1,0.022,True,DAP
CO2-0391,2024-02-07,Safi,Laayoune,Rail,420,58.3,538.69,799.71,32.6,0.022,True,Acide phosphorique
CO2-0392,2024-11-07,Benguerir,Casablanca Port,Route,583,164.1,9184.35,11583.7,20.7,0.096,True,Phosphate brut
CO2-0393,2025-02-16,Khouribga,Youssoufia,Maritime,525,107.2,450.24,675.72,33.4,0.008,True,Sulfate d'ammonium
CO2-0394,2025-01-20,Safi,Jorf Lasfar,Maritime,75,306.2,160.75,194.57,17.4,0.007,True,MAP
CO2-0395,2024-06-04,Jorf Lasfar,Khouribga,Route,180,499.9,8638.27,12201.01,29.2,0.096,True,TSP
CO2-0396,2024-11-01,Laayoune,Safi,Route,938,230.0,20711.04,28019.62,26.1,0.096,True,TSP
CO2-0397,2024-04-17,Khouribga,Safi,Maritime,155,271.8,337.03,486.95,30.8,0.008,True,NPS
CO2-0398,2024-11-26,Khouribga,Youssoufia,Rail,352,213.4,1877.92,2319.34,19.0,0.025,True,Sulfate d'ammonium
CO2-0399,2024-03-31,Casablanca Port,Jorf Lasfar,Rail,95,52.5,124.69,151.84,17.9,0.025,True,NPS
CO2-0400,2024-07-23,Casablanca Port,Safi,Rail,338,37.9,320.26,449.95,28.8,0.025,True,MAP
CO2-0401,2024-07-28,Laayoune,Casablanca Port,Maritime,900,356.0,2563.2,3590.94,28.6,0.008,True,Sulfate d'ammonium
CO2-0402,2024-05-13,Youssoufia,Laayoune,Maritime,147,172.0,176.99,215.01,17.7,0.007,True,DAP
CO2-0403,2025-01-20,Laayoune,Jorf Lasfar,Route,820,418.5,32944.32,50248.04,34.4,0.096,True,Urée
CO2-0404,2024-02-20,Laayoune,Jorf Lasfar,Maritime,820,326.7,2143.15,2720.8,21.2,0.008,True,NPS
CO2-0405,2024-08-15,Casablanca Port,Khouribga,Route,120,309.4,3861.31,4771.5,19.1,0.104,True,Urée
CO2-0406,2024-02-08,Khouribga,Benguerir,Rail,80,157.6,277.38,379.94,27.0,0.022,True,Acide phosphorique
CO2-0407,2024-05-22,Youssoufia,Benguerir,Rail,860,174.7,3305.32,4210.41,21.5,0.022,True,Acide phosphorique
CO2-0408,2024-01-12,Jorf Lasfar,Casablanca Port,Rail,95,234.1,555.99,680.23,18.3,0.025,True,Acide phosphorique
CO2-0409,2024-12-28,Youssoufia,Jorf Lasfar,Maritime,90,32.6,20.54,25.01,17.9,0.007,True,NPS
CO2-0410,2024-02-12,Laayoune,Jorf Lasfar,Rail,820,62.7,1131.11,1690.29,33.1,0.022,True,DAP
CO2-0411,2025-02-27,Casablanca Port,Laayoune,Maritime,900,65.6,413.28,632.44,34.7,0.007,True,MAP
CO2-0412,2025-03-19,Youssoufia,Safi,Maritime,60,380.4,159.77,220.41,27.5,0.007,True,NPS
CO2-0413,2025-02-21,Youssoufia,Khouribga,Rail,535,482.0,6446.75,8872.52,27.3,0.025,True,Acide phosphorique
CO2-0414,2024-02-24,Casablanca Port,Jorf Lasfar,Rail,95,413.8,982.77,1513.15,35.1,0.025,True,Urée
CO2-0415,2024-04-03,Benguerir,Safi,Maritime,95,97.1,73.8,100.22,26.4,0.008,True,Sulfate d'ammonium
CO2-0416,2024-12-08,Jorf Lasfar,Casablanca Port,Maritime,95,294.1,195.58,301.27,35.1,0.007,True,Sulfate d'ammonium
CO2-0417,2024-01-20,Safi,Khouribga,Maritime,155,49.6,61.5,79.39,22.5,0.008,True,DAP
CO2-0418,2024-05-19,Safi,Jorf Lasfar,Route,75,340.0,2448.0,3659.13,33.1,0.096,True,Urée
CO2-0419,2024-03-06,Jorf Lasfar,Khouribga,Route,180,213.6,3691.01,5636.0,34.5,0.096,True,NPS
CO2-0420,2024-11-24,Casablanca Port,Jorf Lasfar,Route,95,99.4,906.53,1265.42,28.4,0.096,True,TSP
CO2-0421,2025-01-05,Safi,Laayoune,Route,672,472.8,33043.05,47337.61,30.2,0.104,True,DAP
CO2-0422,2024-04-01,Benguerir,Khouribga,Maritime,80,130.1,83.26,107.45,22.5,0.008,True,MAP
CO2-0423,2024-02-04,Laayoune,Jorf Lasfar,Route,820,190.2,16220.26,22270.81,27.2,0.104,True,Phosphate brut
CO2-0424,2025-03-05,Youssoufia,Jorf Lasfar,Route,90,449.0,3879.36,5413.13,28.3,0.096,True,Sulfate d'ammonium
CO2-0425,2024-12-23,Casablanca Port,Safi,Route,189,393.9,7146.92,10029.71,28.7,0.096,True,Urée
CO2-0426,2024-11-23,Youssoufia,Safi,Maritime,60,444.7,186.77,270.01,30.8,0.007,True,Acide phosphorique
CO2-0427,2024-07-24,Laayoune,Jorf Lasfar,Route,820,282.5,24091.6,36798.59,34.5,0.104,True,Urée
CO2-0428,2024-02-20,Khouribga,Safi,Route,155,169.9,2738.79,3712.1,26.2,0.104,True,TSP
CO2-0429,2024-10-03,Jorf Lasfar,Benguerir,Rail,110,88.3,242.82,340.68,28.7,0.025,True,Phosphate brut
CO2-0430,2024-04-07,Laayoune,Casablanca Port,Route,900,280.5,26254.8,31508.91,16.7,0.104,True,Phosphate brut
CO2-0431,2024-06-26,Benguerir,Casablanca Port,Route,625,354.4,23036.0,32594.28,29.3,0.104,True,Urée
CO2-0432,2025-02-13,Youssoufia,Safi,Route,60,92.6,577.82,783.41,26.2,0.104,True,MAP
CO2-0433,2024-08-20,Safi,Khouribga,Maritime,155,50.4,62.5,76.62,18.4,0.008,True,MAP
CO2-0434,2024-05-06,Jorf Lasfar,Laayoune,Rail,820,337.4,6086.7,9431.36,35.5,0.022,True,Phosphate brut
CO2-0435,2024-11-12,Casablanca Port,Safi,Rail,318,122.4,973.08,1472.32,33.9,0.025,True,Sulfate d'ammonium
CO2-0436,2025-01-31,Youssoufia,Benguerir,Rail,340,174.2,1480.7,1825.76,18.9,0.025,True,Sulfate d'ammonium
CO2-0437,2024-08-04,Laayoune,Casablanca Port,Rail,900,193.0,4342.5,6351.63,31.6,0.025,True,NPS
CO2-0438,2024-09-03,Youssoufia,Safi,Rail,60,66.7,100.05,142.83,30.0,0.025,True,Phosphate brut
CO2-0439,2024-11-19,Casablanca Port,Benguerir,Route,108,398.1,4127.5,5533.83,25.4,0.096,True,MAP
CO2-0440,2025-02-04,Safi,Laayoune,Route,845,51.4,4517.03,5620.87,19.6,0.104,True,Acide phosphorique
CO2-0441,2024-02-02,Jorf Lasfar,Casablanca Port,Maritime,95,282.4,214.62,298.61,28.1,0.008,True,DAP
