action_id,date_heure,type_action,categorie,anomalie_id,scenario_selectionne,site,produit,gain_principal,economie_usd,co2_evite_kg,temps_reaction_min,norme_iso,mode,operateur
AH-0126,2024-08-06 05:58:11,Rapport ISO auto-généré,Qualité,ANO-0103,SIM-0015-S3,Casablanca Port,Urée,Conformité ISO 9001 PDCA,37427.0,14.6,4.9,ISO 14001,Automatique,Ahmed B.
AH-0127,2024-10-01 22:49:31,Réaffectation véhicule,Logistique,ANO-0003,SIM-0002-S3,Jorf Lasfar,Sulfate d'ammonium,Livraison maintenue à temps,10426.0,35.4,1.7,ISO 9001,Automatique,Karim M.
AH-0128,2024-06-22 03:44:32,Commande anticipée,Stock,ANO-0173,SIM-0015-S3,Youssoufia,Phosphate brut,"Rupture évitée, +8% service",35435.0,25.1,3.4,ISO 45001,Automatique,Système IA
AH-0129,2024-08-20 18:15:32,Rapport ISO auto-généré,Qualité,ANO-0036,SIM-0026-S3,Casablanca Port,MAP,Conformité ISO 9001 PDCA,17631.0,53.3,4.2,ISO 9001,Human-in-loop,Ahmed B.
AH-0130,2024-05-18 18:46:58,Simulation Monte-Carlo,IA,ANO-0119,SIM-0061-S3,Casablanca Port,Urée,Scénario optimal sélectionné,23646.0,88.4,2.4,ISO 9001,Automatique,Ahmed B.
AH-0131,2024-08-15 01:11:34,Alerte SST déclenchée,Sécurité,ANO-0047,SIM-0080-S3,Khouribga,Acide phosphorique,"Incident évité, ISO 45001",39624.0,146.5,2.6,ISO 45001,Automatique,Système IA
AH-0132,2024-01-16 08:35:31,Simulation Monte-Carlo,IA,ANO-0023,SIM-0107-S3,Laayoune,NPS,Scénario optimal sélectionné,27964.0,103.8,1.3,ISO 14001,Automatique,Ahmed B.
AH-0133,2025-03-11 05:54:11,Alerte SST déclenchée,Sécurité,ANO-0057,SIM-0057-S3,Benguerir,Acide phosphorique,"Incident évité, ISO 45001",34763.0,18.6,2.7,ISO 14001,Automatique,Karim M.
AH-0134,2024-06-01 12:36:49,Suspension route CO₂,Environnement,ANO-0129,SIM-0106-S3,Safi,Acide phosphorique,−28% émissions route,20299.0,138.1,0.5,ISO 45001,Human-in-loop,Système IA
AH-0135,2024-06-24 01:39:28,Suspension route CO₂,Environnement,ANO-0097,SIM-0108-S3,Laayoune,TSP,−28% émissions route,18927.0,104.4,1.8,ISO 42001,Automatique,Système IA
AH-0136,2024-07-25 18:42:29,Rapport ISO auto-généré,Qualité,ANO-0017,SIM-0084-S3,Khouribga,DAP,Conformité ISO 9001 PDCA,26884.0,44.7,4.4,ISO 45001,Automatique,Fatima Z.
AH-0137,2024-03-11 23:15:53,Commande anticipée,Stock,ANO-0101,SIM-0093-S3,Benguerir,Phosphate brut,"Rupture évitée, +8% service",14594.0,108.2,0.6,ISO 9001,Automatique,Ahmed B.
AH-0138,2025-02-18 11:35:38,Simulation Monte-Carlo,IA,ANO-0020,SIM-0034-S3,Casablanca Port,Urée,Scénario optimal sélectionné,2436.0,90.5,3.4,ISO 42001,Automatique,Fatima Z.
AH-0139,2024-12-19 21:11:56,Changement fournisseur,Appro.,ANO-0130,SIM-0117-S3,Jorf Lasfar,Acide phosphorique,Délai normalisé,12556.0,85.0,2.3,ISO 42001,Automatique,Karim M.
AH-0140,2024-11-18 20:02:59,Suspension route CO₂,Environnement,ANO-0066,SIM-0115-S3,Safi,NPS,−28% émissions route,6086.0,158.4,3.9,ISO 42001,Automatique,Système IA
AH-0141,2024-08-18 15:15:45,Suspension route CO₂,Environnement,ANO-0178,SIM-0012-S3,Jorf Lasfar,Sulfate d'ammonium,−28% émissions route,36778.0,135.6,3.1,ISO 9001,Automatique,Karim M.
AH-0142,2025-03-24 01:32:12,Commande anticipée,Stock,ANO-0029,SIM-0002-S3,Laayoune,Acide phosphorique,"Rupture évitée, +8% service",15187.0,127.1,3.4,ISO 42001,Automatique,Ahmed B.
AH-0143,2024-11-15 22:19:29,Suspension route CO₂,Environnement,ANO-0193,SIM-0113-S3,Safi,DAP,−28% émissions route,15318.0,11.4,3.7,ISO 42001,Automatique,Karim M.
AH-0144,2025-01-30 12:06:08,Alerte qualité bloquage,Qualité,ANO-0063,SIM-0028-S3,Khouribga,Urée,"Lot retenu, non-conformité évitée",21841.0,82.0,1.4,ISO 42001,Automatique,Système IA
AH-0145,2024-04-15 08:30:00,Réaffectation véhicule,Logistique,ANO-0047,SIM-0095-S3,Youssoufia,Urée,Livraison maintenue à temps,18582.0,155.1,4.6,ISO 45001,Automatique,Système IA
AH-0146,2025-02-01 14:31:17,Redistribution stock,Stock,ANO-0116,SIM-0066-S3,Casablanca Port,Urée,"−35% CO₂, −18% coût",14944.0,92.9,2.0,ISO 9001,Automatique,Ahmed B.
AH-0147,2024-11-18 02:45:19,Alerte qualité bloquage,Qualité,ANO-0053,SIM-0039-S3,Casablanca Port,TSP,"Lot retenu, non-conformité évitée",31398.0,126.4,4.4,ISO 42001,Human-in-loop,Système IA
AH-0148,2024-09-07 14:41:05,Suspension route CO₂,Environnement,ANO-0006,SIM-0109-S3,Casablanca Port,Acide phosphorique,−28% émissions route,25781.0,29.3,1.0,ISO 42001,Automatique,Système IA
AH-0149,2024-03-01 09:21:20,Rapport ISO auto-généré,Qualité,ANO-0140,SIM-0111-S3,Safi,NPS,Conformité ISO 9001 PDCA,1532.0,73.4,1.3,ISO 9001,Automatique,Karim M.
AH-0150,2025-03-24 20:28:19,Commande anticipée,Stock,ANO-0174,SIM-0115-S3,Khouribga,NPS,"Rupture évitée, +8% service",8786.0,146.7,3.1,ISO 9001,Automatique,Système IA
AH-0151,2024-05-04 01:44:12,Réaffectation véhicule,Logistique,ANO-0126,SIM-0016-S3,Jorf Lasfar,TSP,Livraison maintenue à temps,18957.0,61.5,4.5,ISO 14001,Automatique,Ahmed B.
AH-0152,2024-03-11 05:52:05,Simulation Monte-Carlo,IA,ANO-0118,SIM-0095-S3,Khouribga,Urée,Scénario optimal sélectionné,37042.0,58.9,1.7,ISO 42001,Automatique,Ahmed B.
AH-0153,2024-06-09 04:43:10,Redistribution stock,Stock,ANO-0184,SIM-0090-S3,Jorf Lasfar,Phosphate brut,"−35% CO₂, −18% coût",43767.0,20.2,4.0,ISO 45001,Automatique,Système IA
AH-0154,2024-03-28 17:37:43,Redistribution stock,Stock,ANO-0073,SIM-0046-S3,Laayoune,Urée,"−35% CO₂, −18% coût",20344.0,178.9,3.2,ISO 9001,Automatique,Système IA
AH-0155,2024-05-27 11:04:39,Simulation Monte-Carlo,IA,ANO-0001,SIM-0048-S3,Benguerir,TSP,Scénario optimal sélectionné,43145.0,52.5,3.0,ISO 45001,Automatique,Ahmed B.
AH-0156,2024-04-23 22:39:01,Redistribution stock,Stock,ANO-0178,SIM-0087-S3,Laayoune,MAP,"−35% CO₂, −18% coût",21073.0,99.3,2.4,ISO 9001,Automatique,Karim M.
AH-0157,2024-06-21 06:32:23,Alerte SST déclenchée,Sécurité,ANO-0174,SIM-0015-S3,Benguerir,DAP,"Incident évité, ISO 45001",4812.0,118.8,1.6,ISO 14001,Human-in-loop,Système IA
AH-0158,2024-09-12 04:56:36,Reroutage automatique,Logistique,ANO-0001,SIM-0026-S3,Safi,DAP,"Délai respecté, −12 kg CO₂",5327.0,14.5,3.2,ISO 14001,Automatique,Fatima Z.
AH-0159,2024-12-12 15:00:40,Redistribution stock,Stock,ANO-0013,SIM-0027-S3,Khouribga,DAP,"−35% CO₂, −18% coût",23388.0,162.2,4.8,ISO 9001,Automatique,Karim M.
AH-0160,2025-02-14 15:32:08,Commande anticipée,Stock,ANO-0043,SIM-0077-S3,Safi,TSP,"Rupture évitée, +8% service",29377.0,139.8,4.2,ISO 45001,Automatique,Système IA
AH-0161,2024-12-21 11:05:20,Redistribution stock,Stock,ANO-0038,SIM-0067-S3,Jorf Lasfar,Sulfate d'ammonium,"−35% CO₂, −18% coût",42823.0,37.2,3.4,ISO 45001,Automatique,Karim M.
AH-0162,2024-01-02 16:40:47,Réaffectation véhicule,Logistique,ANO-0109,SIM-0120-S3,Jorf Lasfar,MAP,Livraison maintenue à temps,32422.0,159.8,2.2,ISO 9001,Automatique,Karim M.
AH-0163,2024-10-31 09:47:24,Rapport ISO auto-généré,Qualité,ANO-0034,SIM-0002-S3,Jorf Lasfar,DAP,Conformité ISO 9001 PDCA,23961.0,152.1,1.6,ISO 9001,Automatique,Ahmed B.
AH-0164,2024-05-31 03:56:55,Rapport ISO auto-généré,Qualité,ANO-0173,SIM-0116-S3,Benguerir,Acide phosphorique,Conformité ISO 9001 PDCA,12266.0,62.1,3.2,ISO 14001,Automatique,Fatima Z.
AH-0165,2025-01-11 08:43:19,Réaffectation véhicule,Logistique,ANO-0002,SIM-0011-S3,Youssoufia,DAP,Livraison maintenue à temps,33163.0,56.7,3.5,ISO 14001,Automatique,Fatima Z.
AH-0166,2024-11-12 18:21:01,Changement fournisseur,Appro.,ANO-0153,SIM-0003-S3,Jorf Lasfar,MAP,Délai normalisé,42258.0,32.3,1.5,ISO 45001,Automatique,Ahmed B.
AH-0167,2024-07-25 19:26:54,Réaffectation véhicule,Logistique,ANO-0146,SIM-0058-S3,Safi,DAP,Livraison maintenue à temps,11397.0,70.9,3.9,ISO 9001,Automatique,Fatima Z.
AH-0168,2024-10-18 14:34:17,Changement fournisseur,Appro.,ANO-0082,SIM-0018-S3,Laayoune,Acide phosphorique,Délai normalisé,2083.0,67.1,3.6,ISO 42001,Automatique,Système IA
AH-0169,2024-12-07 11:01:31,Réaffectation véhicule,Logistique,ANO-0095,SIM-0100-S3,Benguerir,DAP,Livraison maintenue à temps,43696.0,157.9,4.2,ISO 45001,Human-in-loop,Système IA
AH-0170,2024-04-24 01:51:32,Réaffectation véhicule,Logistique,ANO-0031,SIM-0046-S3,Laayoune,NPS,Livraison maintenue à temps,44914.0,48.5,2.2,ISO 42001,Automatique,Ahmed B.
AH-0171,2024-06-28 06:49:00,Commande anticipée,Stock,ANO-0110,SIM-0005-S3,Safi,Urée,"Rupture évitée, +8% service",36345.0,110.8,3.3,ISO 42001,Automatique,Système IA
AH-0172,2024-10-16 14:06:53,Commande anticipée,Stock,ANO-0149,SIM-0040-S3,Jorf Lasfar,NPS,"Rupture évitée, +8% service",43557.0,154.7,3.5,ISO 14001,Automatique,Système IA
AH-0173,2024-05-24 11:12:10,Alerte SST déclenchée,Sécurité,ANO-0155,SIM-0068-S3,Safi,TSP,"Incident évité, ISO 45001",7627.0,76.9,3.3,ISO 9001,Automatique,Karim M.
AH-0174,2024-12-18 09:40:20,Reroutage automatique,Logistique,ANO-0146,SIM-0075-S3,Safi,TSP,"Délai respecté, −12 kg CO₂",8674.0,65.3,3.2,ISO 14001,Automatique,Système IA
AH-0175,2024-07-11 14:05:31,Réaffectation véhicule,Logistique,ANO-0056,SIM-0042-S3,Laayoune,NPS,Livraison maintenue à temps,38959.0,75.0,2.8,ISO 42001,Automatique,Ahmed B.
AH-0176,2024-12-02 23:08:47,Suspension route CO₂,Environnement,ANO-0004,SIM-0039-S3,Khouribga,Phosphate brut,−28% émissions route,11615.0,35.2,2.9,ISO 45001,Human-in-loop,Ahmed B.
AH-0177,2024-09-11 06:37:50,Reroutage automatique,Logistique,ANO-0052,SIM-0078-S3,Jorf Lasfar,Phosphate brut,"Délai respecté, −12 kg CO₂",43927.0,109.9,1.2,ISO 14001,Automatique,Système IA
AH-0178,2024-02-21 15:37:20,Redistribution stock,Stock,ANO-0075,SIM-0039-S3,Khouribga,NPS,"−35% CO₂, −18% coût",41862.0,30.7,3.3,ISO 9001,Human-in-loop,Fatima Z.
AH-0179,2024-01-27 05:15:07,Changement fournisseur,Appro.,ANO-0073,SIM-0094-S3,Jorf Lasfar,MAP,Délai normalisé,9954.0,25.7,1.4,ISO 42001,Automatique,Système IA
AH-0180,2024-04-12 20:01:35,Simulation Monte-Carlo,IA,ANO-0009,SIM-0076-S3,Jorf Lasfar,Urée,Scénario optimal sélectionné,29070.0,150.7,2.2,ISO 14001,Automatique,Ahmed B.
