anomalie_id,date_detection,type_anomalie,categorie,severite,site,produit,description,score_isolation_forest,statut,date_resolution,action_declenchee,impact_usd
ANO-0137,2024-10-29 21:08,Rupture stock imminente,Stock,critique,Jorf Lasfar,Phosphate brut,Rupture stock imminente détecté sur site Jorf Lasfar,-0.5743,Résolu,2024-10-29 22:27,Simulation lancée,72796.0
ANO-0138,2024-09-10 16:37,Variation demande >20%,Prévision,faible,Casablanca Port,Phosphate brut,Variation demande >20% détecté sur site Casablanca Port,-0.2611,Résolu,2024-09-10 21:33,Simulation lancée,75979.0
ANO-0139,2025-03-24 01:22,Retard douanier,Logistique,faible,Laayoune,TSP,Retard douanier détecté sur site Laayoune,-0.6557,Résolu,2025-03-24 02:56,Auto-heal exécuté,2716.0
ANO-0140,2024-01-31 15:26,Variation demande >20%,Prévision,faible,Laayoune,Sulfate d'ammonium,Variation demande >20% détecté sur site Laayoune,-0.1317,Résolu,2024-01-31 18:15,Simulation lancée,78955.0
ANO-0141,2024-06-05 15:59,Température stockage,Qualité,modéré,Youssoufia,Urée,Température stockage détecté sur site Youssoufia,-0.1063,Résolu,2024-06-05 18:00,Alerte envoyée,65763.0
ANO-0142,2024-12-07 11:30,Rupture stock imminente,Stock,critique,Youssoufia,Urée,Rupture stock imminente détecté sur site Youssoufia,-0.7822,Résolu,2024-12-07 18:56,Alerte envoyée,32645.0
ANO-0143,2024-11-06 01:13,Surcharge conducteur,SST,critique,Safi,Urée,Surcharge conducteur détecté sur site Safi,-0.3868,Résolu,2024-11-06 02:18,Auto-heal exécuté,82401.0
ANO-0144,2025-02-05 04:11,Route bloquée,Logistique,modéré,Jorf Lasfar,Phosphate brut,Route bloquée détecté sur site Jorf Lasfar,-0.7157,Résolu,2025-02-05 08:23,Simulation lancée,63848.0
ANO-0145,2024-05-28 08:08,Délai fournisseur,Approvisionnement,modéré,Safi,MAP,Délai fournisseur détecté sur site Safi,-0.2401,Résolu,2024-05-28 11:14,Intervention humaine,22072.0
ANO-0146,2024-01-13 12:58,Retard livraison critique,Logistique,critique,Safi,Urée,Retard livraison critique détecté sur site Safi,-0.5198,Résolu,2024-01-13 20:19,Auto-heal exécuté,30471.0
ANO-0147,2024-02-20 17:23,Défaillance équipement,Maintenance,critique,Laayoune,Acide phosphorique,Défaillance équipement détecté sur site Laayoune,-0.6394,Résolu,2024-02-20 23:24,Auto-heal exécuté,55462.0
ANO-0148,2024-01-13 07:27,Écart qualité produit,Qualité,critique,Safi,Acide phosphorique,Écart qualité produit détecté sur site Safi,-0.2893,Actif,,Simulation lancée,4334.0
ANO-0149,2025-03-14 12:31,Surstock détecté,Stock,modéré,Youssoufia,TSP,Surstock détecté détecté sur site Youssoufia,-0.7018,Résolu,2025-03-14 16:33,Auto-heal exécuté,5670.0
ANO-0150,2024-08-15 15:29,Surstock détecté,Stock,modéré,Laayoune,Urée,Surstock détecté détecté sur site Laayoune,-0.2237,Résolu,2024-08-15 19:05,Alerte envoyée,15257.0
ANO-0151,2024-05-21 01:32,Route bloquée,Logistique,modéré,Youssoufia,MAP,Route bloquée détecté sur site Youssoufia,-0.2494,Résolu,2024-05-21 01:49,Intervention humaine,17744.0
ANO-0152,2024-10-16 20:39,Écart qualité produit,Qualité,critique,Casablanca Port,Acide phosphorique,Écart qualité produit détecté sur site Casablanca Port,-0.3647,Actif,,Auto-heal exécuté,66686.0
ANO-0153,2024-12-31 10:47,Délai fournisseur,Approvisionnement,modéré,Khouribga,TSP,Délai fournisseur détecté sur site Khouribga,-0.1605,Résolu,2024-12-31 11:12,Intervention humaine,64931.0
ANO-0154,2024-05-11 20:11,Retard douanier,Logistique,faible,Jorf Lasfar,DAP,Retard douanier détecté sur site Jorf Lasfar,-0.5559,Résolu,2024-05-11 22:07,Auto-heal exécuté,35980.0
ANO-0155,2025-01-04 11:29,Retard livraison critique,Logistique,critique,Khouribga,Urée,Retard livraison critique détecté sur site Khouribga,-0.2007,Résolu,2025-01-04 16:05,Intervention humaine,11857.0
ANO-0156,2024-01-01 13:27,Variation demande >20%,Prévision,faible,Laayoune,NPS,Variation demande >20% détecté sur site Laayoune,-0.1703,Résolu,2024-01-01 15:40,Alerte envoyée,27783.0
ANO-0157,2024-03-15 20:59,Route bloquée,Logistique,modéré,Benguerir,Phosphate brut,Route bloquée détecté sur site Benguerir,-0.7119,Résolu,2024-03-16 01:24,Alerte envoyée,68560.0
ANO-0158,2024-03-04 20:06,Seuil CO₂ dépassé,Environnement,modéré,Youssoufia,Urée,Seuil CO₂ dépassé détecté sur site Youssoufia,-0.6024,Résolu,2024-03-05 01:22,Auto-heal exécuté,21606.0
ANO-0159,2024-08-21 21:03,Défaillance équipement,Maintenance,critique,Youssoufia,NPS,Défaillance équipement détecté sur site Youssoufia,-0.3322,Résolu,2024-08-22 01:31,Simulation lancée,64711.0
ANO-0160,2024-11-23 19:02,Seuil CO₂ dépassé,Environnement,modéré,Benguerir,TSP,Seuil CO₂ dépassé détecté sur site Benguerir,-0.3944,Résolu,2024-11-24 03:02,Auto-heal exécuté,63701.0
ANO-0161,2024-02-07 07:07,Écart qualité produit,Qualité,critique,Casablanca Port,TSP,Écart qualité produit détecté sur site Casablanca Port,-0.79,Actif,,Auto-heal exécuté,71090.0
ANO-0162,2024-11-04 04:12,Surstock détecté,Stock,modéré,Youssoufia,NPS,Surstock détecté détecté sur site Youssoufia,-0.4613,Résolu,2024-11-04 07:10,Alerte envoyée,53626.0
ANO-0163,2024-12-17 03:49,Variation demande >20%,Prévision,faible,Safi,NPS,Variation demande >20% détecté sur site Safi,-0.3651,Actif,,Intervention humaine,10456.0
ANO-0164,2025-02-03 14:48,Défaillance équipement,Maintenance,critique,Casablanca Port,Sulfate d'ammonium,Défaillance équipement détecté sur site Casablanca Port,-0.1023,Actif,,Alerte envoyée,22072.0
ANO-0165,2025-03-02 08:15,Surcharge conducteur,SST,critique,Laayoune,MAP,Surcharge conducteur détecté sur site Laayoune,-0.3324,Résolu,2025-03-02 11:12,Simulation lancée,5833.0
ANO-0166,2024-01-20 17:45,Délai fournisseur,Approvisionnement,modéré,Safi,TSP,Délai fournisseur détecté sur site Safi,-0.7338,Actif,,Intervention humaine,70642.0
ANO-0167,2024-08-17 16:29,Retard livraison critique,Logistique,critique,Jorf Lasfar,Sulfate d'ammonium,Retard livraison critique détecté sur site Jorf Lasfar,-0.5851,Résolu,2024-08-17 20:14,Auto-heal exécuté,82152.0
ANO-0168,2024-11-04 19:01,Route bloquée,Logistique,modéré,Youssoufia,Phosphate brut,Route bloquée détecté sur site Youssoufia,-0.7008,Actif,,Alerte envoyée,66065.0
ANO-0169,2024-10-01 21:51,Surstock détecté,Stock,modéré,Casablanca Port,TSP,Surstock détecté détecté sur site Casablanca Port,-0.406,Résolu,2024-10-02 02:24,Auto-heal exécuté,68122.0
ANO-0170,2024-06-27 23:24,Délai fournisseur,Approvisionnement,modéré,Jorf Lasfar,TSP,Délai fournisseur détecté sur site Jorf Lasfar,-0.5379,Résolu,2024-06-28 00:17,Alerte envoyée,54150.0
ANO-0171,2024-04-28 02:26,Variation demande >20%,Prévision,faible,Youssoufia,Urée,Variation demande >20% détecté sur site Youssoufia,-0.1992,Résolu,2024-04-28 04:50,Auto-heal exécuté,81540.0
ANO-0172,2024-10-29 17:53,Écart qualité produit,Qualité,critique,Benguerir,Urée,Écart qualité produit détecté sur site Benguerir,-0.1744,Actif,,Intervention humaine,27702.0
ANO-0173,2024-01-01 06:35,Retard douanier,Logistique,faible,Benguerir,Acide phosphorique,Retard douanier détecté sur site Benguerir,-0.6539,Résolu,2024-01-01 12:52,Auto-heal exécuté,5504.0
ANO-0174,2024-04-21 16:28,Écart qualité produit,Qualité,critique,Youssoufia,TSP,Écart qualité produit détecté sur site Youssoufia,-0.2648,Résolu,2024-04-21 23:23,Alerte envoyée,33560.0
ANO-0175,2024-11-21 10:53,Seuil CO₂ dépassé,Environnement,modéré,Casablanca Port,Phosphate brut,Seuil CO₂ dépassé détecté sur site Casablanca Port,-0.626,Résolu,2024-11-21 13:54,Auto-heal exécuté,19623.0
ANO-0176,2024-11-07 19:23,Défaillance équipement,Maintenance,critique,Youssoufia,TSP,Défaillance équipement détecté sur site Youssoufia,-0.6559,Résolu,2024-11-07 20:37,Simulation lancée,64769.0
ANO-0177,2024-04-01 02:28,Rupture stock imminente,Stock,critique,Casablanca Port,MAP,Rupture stock imminente détecté sur site Casablanca Port,-0.2598,Résolu,2024-04-01 07:36,Intervention humaine,20119.0
ANO-0178,2024-04-06 23:38,Surcharge conducteur,SST,critique,Benguerir,NPS,Surcharge conducteur détecté sur site Benguerir,-0.6924,Résolu,2024-04-07 07:10,Simulation lancée,74457.0
ANO-0179,2024-07-17 09:58,Rupture stock imminente,Stock,critique,Safi,NPS,Rupture stock imminente détecté sur site Safi,-0.5019,Résolu,2024-07-17 11:26,Intervention humaine,64590.0
ANO-0180,2024-03-21 00:59,Surstock détecté,Stock,modéré,Jorf Lasfar,Sulfate d'ammonium,Surstock détecté détecté sur site Jorf Lasfar,-0.6311,Résolu,2024-03-21 08:16,Intervention humaine,71202.0
ANO-0181,2024-02-14 00:04,Écart qualité produit,Qualité,critique,Safi,Acide phosphorique,Écart qualité produit détecté sur site Safi,-0.2104,Résolu,2024-02-14 06:21,Simulation lancée,76950.0
ANO-0182,2024-09-12 09:49,Température stockage,Qualité,modéré,Jorf Lasfar,Acide phosphorique,Température stockage détecté sur site Jorf Lasfar,-0.1118,Résolu,2024-09-12 10:33,Auto-heal exécuté,9046.0
ANO-0183,2025-03-30 23:48,Surcharge conducteur,SST,critique,Youssoufia,Urée,Surcharge conducteur détecté sur site Youssoufia,-0.3341,Résolu,2025-03-31 00:43,Intervention humaine,47877.0
ANO-0184,2025-02-07 02:14,Variation demande >20%,Prévision,faible,Safi,Urée,Variation demande >20% détecté sur site Safi,-0.7705,Actif,,Auto-heal exécuté,50384.0
ANO-0185,2025-03-23 02:26,Température stockage,Qualité,modéré,Khouribga,Phosphate brut,Température stockage détecté sur site Khouribga,-0.5475,Résolu,2025-03-23 08:12,Intervention humaine,69391.0
ANO-0186,2024-01-31 23:08,Retard douanier,Logistique,faible,Casablanca Port,NPS,Retard douanier détecté sur site Casablanca Port,-0.2034,Résolu,2024-02-01 04:03,Auto-heal exécuté,79947.0
ANO-0187,2024-12-01 09:17,Température stockage,Qualité,modéré,Casablanca Port,DAP,Température stockage détecté sur site Casablanca Port,-0.6488,Résolu,2024-12-01 10:51,Auto-heal exécuté,53779.0
ANO-0188,2024-08-15 00:26,Délai fournisseur,Approvisionnement,modéré,Khouribga,DAP,Délai fournisseur détecté sur site Khouribga,-0.2897,Actif,,Simulation lancée,30801.0
ANO-0189,2024-09-30 16:48,Température stockage,Qualité,modéré,Benguerir,Phosphate brut,Température stockage détecté sur site Benguerir,-0.6064,Actif,,Auto-heal exécuté,27921.0
ANO-0190,2024-07-23 09:54,Retard douanier,Logistique,faible,Casablanca Port,TSP,Retard douanier détecté sur site Casablanca Port,-0.6534,Résolu,2024-07-23 16:30,Simulation lancée,63090.0
ANO-0191,2024-05-13 15:23,Délai fournisseur,Approvisionnement,modéré,Laayoune,MAP,Délai fournisseur détecté sur site Laayoune,-0.5664,Actif,,Alerte envoyée,27247.0
ANO-0192,2024-03-11 05:47,Défaillance équipement,Maintenance,critique,Khouribga,Sulfate d'ammonium,Défaillance équipement détecté sur site Khouribga,-0.3647,Résolu,2024-03-11 11:16,Alerte envoyée,64430.0
ANO-0193,2025-01-12 01:16,Surstock détecté,Stock,modéré,Benguerir,NPS,Surstock détecté détecté sur site Benguerir,-0.173,Résolu,2025-01-12 07:44,Alerte envoyée,81562.0
ANO-0194,2024-03-27 14:08,Délai fournisseur,Approvisionnement,modéré,Khouribga,Acide phosphorique,Délai fournisseur détecté sur site Khouribga,-0.1638,Résolu,2024-03-27 20:08,Simulation lancée,64447.0
ANO-0195,2024-11-05 02:43,Route bloquée,Logistique,modéré,Youssoufia,MAP,Route bloquée détecté sur site Youssoufia,-0.661,Résolu,2024-11-05 03:31,Intervention humaine,72512.0
ANO-0196,2024-09-21 05:06,Seuil CO₂ dépassé,Environnement,modéré,Casablanca Port,Urée,Seuil CO₂ dépassé détecté sur site Casablanca Port,-0.7069,Résolu,2024-09-21 08:25,Auto-heal exécuté,71903.0
ANO-0197,2024-08-16 06:55,Retard douanier,Logistique,faible,Laayoune,MAP,Retard douanier détecté sur site Laayoune,-0.5733,Résolu,2024-08-16 08:52,Intervention humaine,70308.0
ANO-0198,2024-04-30 09:37,Surstock détecté,Stock,modéré,Jorf Lasfar,Acide phosphorique,Surstock détecté détecté sur site Jorf Lasfar,-0.7815,Résolu,2024-04-30 11:33,Alerte envoyée,21232.0
ANO-0199,2024-06-16 17:56,Surstock détecté,Stock,modéré,Safi,Acide phosphorique,Surstock détecté détecté sur site Safi,-0.6294,Résolu,2024-06-16 18:08,Intervention humaine,71305.0
ANO-0200,2025-03-04 03:36,Écart qualité produit,Qualité,critique,Jorf Lasfar,Phosphate brut,Écart qualité produit détecté sur site Jorf Lasfar,-0.5114,Actif,,Intervention humaine,53503.0
