sim_id,evenement_id,anomalie_id,date_simulation,site,scenario,delta_delai_h,delta_cout_pct,delta_co2_pct,score_perf,score_co2,score_global,selectionne,alpha,beta,gamma
SIM-0051-S1,51,ANO-0182,2024-11-25 17:31,Safi,S1 — Attendre,3.37,4.4,24.4,0.4386,-0.2438,0.3295,False,0.4,0.35,0.25
SIM-0051-S2,51,ANO-0182,2024-11-25 17:31,Safi,S2 — Fournisseur alternatif,0.1,17.3,-9.7,0.9825,0.0967,0.6399,False,0.4,0.35,0.25
SIM-0051-S3,51,ANO-0182,2024-11-25 17:31,Safi,S3 — Redistribution stock,-0.17,-10.8,-38.7,1.0289,0.3873,0.8274,True,0.4,0.35,0.25
SIM-0052-S1,52,ANO-0131,2024-09-04 11:23,Laayoune,S1 — Attendre,5.58,-4.8,12.6,0.0695,-0.1257,0.2463,False,0.4,0.35,0.25
SIM-0052-S2,52,ANO-0131,2024-09-04 11:23,Laayoune,S2 — Fournisseur alternatif,0.52,13.6,-11.5,0.9126,0.1146,0.6251,False,0.4,0.35,0.25
SIM-0052-S3,52,ANO-0131,2024-09-04 11:23,Laayoune,S3 — Redistribution stock,-1.87,-14.3,-36.4,1.3117,0.3645,0.9439,True,0.4,0.35,0.25
SIM-0053-S1,53,ANO-0020,2024-03-08 21:00,Laayoune,S1 — Attendre,2.04,-4.9,26.1,0.6602,-0.2614,0.4354,False,0.4,0.35,0.25
SIM-0053-S2,53,ANO-0020,2024-03-08 21:00,Laayoune,S2 — Fournisseur alternatif,0.74,19.3,-11.9,0.8766,0.1188,0.6018,False,0.4,0.35,0.25
SIM-0053-S3,53,ANO-0020,2024-03-08 21:00,Laayoune,S3 — Redistribution stock,-0.75,-11.3,-33.1,1.1246,0.3309,0.8475,True,0.4,0.35,0.25
SIM-0054-S1,54,ANO-0171,2024-09-14 00:26,Laayoune,S1 — Attendre,2.42,-3.8,24.1,0.5961,-0.2408,0.414,False,0.4,0.35,0.25
SIM-0054-S2,54,ANO-0171,2024-09-14 00:26,Laayoune,S2 — Fournisseur alternatif,-0.6,21.2,-13.4,1.1002,0.1338,0.6932,False,0.4,0.35,0.25
SIM-0054-S3,54,ANO-0171,2024-09-14 00:26,Laayoune,S3 — Redistribution stock,-1.82,-10.5,-39.9,1.3028,0.3994,0.9402,True,0.4,0.35,0.25
SIM-0055-S1,55,ANO-0013,2024-06-30 00:50,Youssoufia,S1 — Attendre,4.87,-1.1,22.5,0.1887,-0.2251,0.2496,False,0.4,0.35,0.25
SIM-0055-S2,55,ANO-0013,2024-06-30 00:50,Youssoufia,S2 — Fournisseur alternatif,-0.61,22.3,-0.8,1.1025,0.0084,0.6484,False,0.4,0.35,0.25
SIM-0055-S3,55,ANO-0013,2024-06-30 00:50,Youssoufia,S3 — Redistribution stock,-1.01,-12.9,-33.0,1.1682,0.3296,0.8698,True,0.4,0.35,0.25
SIM-0056-S1,56,ANO-0048,2024-02-17 14:05,Safi,S1 — Attendre,4.03,-4.2,29.5,0.3283,-0.2948,0.2891,False,0.4,0.35,0.25
SIM-0056-S2,56,ANO-0048,2024-02-17 14:05,Safi,S2 — Fournisseur alternatif,-0.47,23.2,-3.5,1.0789,0.0349,0.6468,False,0.4,0.35,0.25
SIM-0056-S3,56,ANO-0048,2024-02-17 14:05,Safi,S3 — Redistribution stock,-1.62,-18.8,-28.6,1.2702,0.2858,0.9158,True,0.4,0.35,0.25
SIM-0057-S1,57,ANO-0083,2024-05-26 04:16,Youssoufia,S1 — Attendre,5.03,-2.7,17.9,0.1625,-0.1789,0.2594,False,0.4,0.35,0.25
SIM-0057-S2,57,ANO-0083,2024-05-26 04:16,Youssoufia,S2 — Fournisseur alternatif,0.67,14.5,-6.8,0.888,0.0675,0.5973,False,0.4,0.35,0.25
SIM-0057-S3,57,ANO-0083,2024-05-26 04:16,Youssoufia,S3 — Redistribution stock,-0.72,-17.8,-36.2,1.1198,0.3624,0.8789,True,0.4,0.35,0.25
SIM-0058-S1,58,ANO-0062,2024-09-24 18:46,Casablanca Port,S1 — Attendre,4.12,1.5,29.4,0.313,-0.2936,0.2686,False,0.4,0.35,0.25
SIM-0058-S2,58,ANO-0062,2024-09-24 18:46,Casablanca Port,S2 — Fournisseur alternatif,-0.5,21.3,-13.7,1.0828,0.1371,0.6872,False,0.4,0.35,0.25
SIM-0058-S3,58,ANO-0062,2024-09-24 18:46,Casablanca Port,S3 — Redistribution stock,-1.87,-16.6,-29.0,1.3124,0.2901,0.9261,True,0.4,0.35,0.25
SIM-0059-S1,59,ANO-0173,2024-11-30 01:32,Khouribga,S1 — Attendre,5.06,2.2,10.2,0.157,-0.1024,0.2717,False,0.4,0.35,0.25
SIM-0059-S2,59,ANO-0173,2024-11-30 01:32,Khouribga,S2 — Fournisseur alternatif,0.49,11.3,-3.2,0.9186,0.0324,0.6033,False,0.4,0.35,0.25
SIM-0059-S3,59,ANO-0173,2024-11-30 01:32,Khouribga,S3 — Redistribution stock,-0.17,-16.4,-29.8,1.0279,0.2978,0.8144,True,0.4,0.35,0.25
SIM-0060-S1,60,ANO-0068,2024-02-21 04:04,Jorf Lasfar,S1 — Attendre,4.91,-1.8,17.2,0.1819,-0.1716,0.2673,False,0.4,0.35,0.25
SIM-0060-S2,60,ANO-0068,2024-02-21 04:04,Jorf Lasfar,S2 — Fournisseur alternatif,0.62,15.6,-9.0,0.8963,0.09,0.6064,False,0.4,0.35,0.25
SIM-0060-S3,60,ANO-0068,2024-02-21 04:04,Jorf Lasfar,S3 — Redistribution stock,-1.02,-14.5,-28.8,1.1703,0.2883,0.8615,True,0.4,0.35,0.25
SIM-0061-S1,61,ANO-0044,2024-06-26 04:18,Jorf Lasfar,S1 — Attendre,2.17,-1.5,19.3,0.6382,-0.193,0.4415,False,0.4,0.35,0.25
SIM-0061-S2,61,ANO-0044,2024-06-26 04:18,Jorf Lasfar,S2 — Fournisseur alternatif,-0.08,23.9,1.9,1.0128,-0.0193,0.6002,False,0.4,0.35,0.25
SIM-0061-S3,61,ANO-0044,2024-06-26 04:18,Jorf Lasfar,S3 — Redistribution stock,-0.06,-15.4,-26.5,1.0092,0.2651,0.7919,True,0.4,0.35,0.25
SIM-0062-S1,62,ANO-0037,2024-12-17 05:10,Youssoufia,S1 — Attendre,4.95,-1.1,29.0,0.1748,-0.2899,0.2213,False,0.4,0.35,0.25
SIM-0062-S2,62,ANO-0037,2024-12-17 05:10,Youssoufia,S2 — Fournisseur alternatif,0.75,21.8,-7.4,0.8755,0.0737,0.5812,False,0.4,0.35,0.25
SIM-0062-S3,62,ANO-0037,2024-12-17 05:10,Youssoufia,S3 — Redistribution stock,-0.26,-18.5,-34.5,1.0432,0.3451,0.8449,True,0.4,0.35,0.25
SIM-0063-S1,63,ANO-0170,2024-12-03 09:27,Laayoune,S1 — Attendre,5.62,-3.5,28.9,0.0631,-0.2892,0.1831,False,0.4,0.35,0.25
SIM-0063-S2,63,ANO-0170,2024-12-03 09:27,Laayoune,S2 — Fournisseur alternatif,-0.57,10.2,-5.6,1.0943,0.0555,0.6839,False,0.4,0.35,0.25
SIM-0063-S3,63,ANO-0170,2024-12-03 09:27,Laayoune,S3 — Redistribution stock,-1.46,-18.0,-32.5,1.243,0.3254,0.9161,True,0.4,0.35,0.25
SIM-0064-S1,64,ANO-0141,2024-05-02 23:13,Benguerir,S1 — Attendre,3.11,-3.1,22.1,0.4816,-0.2214,0.3731,False,0.4,0.35,0.25
SIM-0064-S2,64,ANO-0141,2024-05-02 23:13,Benguerir,S2 — Fournisseur alternatif,-0.0,16.5,2.0,1.0003,-0.0203,0.6075,False,0.4,0.35,0.25
SIM-0064-S3,64,ANO-0141,2024-05-02 23:13,Benguerir,S3 — Redistribution stock,-1.03,-13.3,-34.7,1.1709,0.347,0.8783,True,0.4,0.35,0.25
SIM-0065-S1,65,ANO-0083,2024-03-23 08:11,Khouribga,S1 — Attendre,4.82,1.1,12.8,0.196,-0.1283,0.2808,False,0.4,0.35,0.25
SIM-0065-S2,65,ANO-0083,2024-03-23 08:11,Khouribga,S2 — Fournisseur alternatif,0.04,17.4,-10.7,0.9937,0.1067,0.6478,False,0.4,0.35,0.25
SIM-0065-S3,65,ANO-0083,2024-03-23 08:11,Khouribga,S3 — Redistribution stock,-1.02,-10.4,-30.5,1.1698,0.3053,0.8539,True,0.4,0.35,0.25
SIM-0066-S1,66,ANO-0080,2024-09-19 23:35,Casablanca Port,S1 — Attendre,4.74,-0.7,12.4,0.2106,-0.1244,0.2925,False,0.4,0.35,0.25
SIM-0066-S2,66,ANO-0080,2024-09-19 23:35,Casablanca Port,S2 — Fournisseur alternatif,-0.74,14.2,-0.5,1.1235,0.005,0.67,False,0.4,0.35,0.25
SIM-0066-S3,66,ANO-0080,2024-09-19 23:35,Casablanca Port,S3 — Redistribution stock,-0.39,-11.4,-34.5,1.0643,0.3446,0.8284,True,0.4,0.35,0.25
SIM-0067-S1,67,ANO-0005,2025-01-02 19:06,Khouribga,S1 — Attendre,3.79,-0.8,14.2,0.3686,-0.1419,0.3499,False,0.4,0.35,0.25
SIM-0067-S2,67,ANO-0005,2025-01-02 19:06,Khouribga,S2 — Fournisseur alternatif,-0.35,13.5,2.4,1.0579,-0.0244,0.6349,False,0.4,0.35,0.25
SIM-0067-S3,67,ANO-0005,2025-01-02 19:06,Khouribga,S3 — Redistribution stock,-1.37,-10.8,-25.4,1.2292,0.2541,0.861,True,0.4,0.35,0.25
SIM-0068-S1,68,ANO-0088,2024-08-05 21:28,Jorf Lasfar,S1 — Attendre,4.31,-1.7,13.9,0.2819,-0.1389,0.3184,False,0.4,0.35,0.25
SIM-0068-S2,68,ANO-0088,2024-08-05 21:28,Jorf Lasfar,S2 — Fournisseur alternatif,-0.75,14.8,-2.3,1.1243,0.0235,0.6756,False,0.4,0.35,0.25
SIM-0068-S3,68,ANO-0088,2024-08-05 21:28,Jorf Lasfar,S3 — Redistribution stock,-0.06,-17.7,-31.1,1.0096,0.3111,0.8165,True,0.4,0.35,0.25
SIM-0069-S1,69,ANO-0064,2024-07-03 02:20,Laayoune,S1 — Attendre,3.95,-0.3,10.4,0.3409,-0.1039,0.3508,False,0.4,0.35,0.25
SIM-0069-S2,69,ANO-0064,2024-07-03 02:20,Laayoune,S2 — Fournisseur alternatif,0.02,11.4,0.0,0.9963,-0.0,0.6229,False,0.4,0.35,0.25
SIM-0069-S3,69,ANO-0064,2024-07-03 02:20,Laayoune,S3 — Redistribution stock,-0.75,-19.2,-32.6,1.1255,0.3264,0.8738,True,0.4,0.35,0.25
SIM-0070-S1,70,ANO-0116,2024-07-25 14:44,Khouribga,S1 — Attendre,3.56,-3.1,25.4,0.4069,-0.254,0.3318,False,0.4,0.35,0.25
SIM-0070-S2,70,ANO-0116,2024-07-25 14:44,Khouribga,S2 — Fournisseur alternatif,0.42,15.5,0.6,0.9294,-0.0056,0.5863,False,0.4,0.35,0.25
SIM-0070-S3,70,ANO-0116,2024-07-25 14:44,Khouribga,S3 — Redistribution stock,-1.05,-17.8,-40.0,1.1754,0.3995,0.914,True,0.4,0.35,0.25
SIM-0071-S1,71,ANO-0159,2024-10-03 15:28,Laayoune,S1 — Attendre,3.93,-3.5,15.5,0.345,-0.1546,0.3431,False,0.4,0.35,0.25
SIM-0071-S2,71,ANO-0159,2024-10-03 15:28,Laayoune,S2 — Fournisseur alternatif,-0.36,24.8,-2.9,1.06,0.029,0.6345,False,0.4,0.35,0.25
SIM-0071-S3,71,ANO-0159,2024-10-03 15:28,Laayoune,S3 — Redistribution stock,-0.93,-11.8,-30.3,1.1546,0.3031,0.8512,True,0.4,0.35,0.25
SIM-0072-S1,72,ANO-0188,2024-04-03 11:43,Benguerir,S1 — Attendre,2.24,3.8,20.5,0.6263,-0.2047,0.4196,False,0.4,0.35,0.25
SIM-0072-S2,72,ANO-0188,2024-04-03 11:43,Benguerir,S2 — Fournisseur alternatif,0.01,13.7,-7.5,0.9986,0.0748,0.6455,False,0.4,0.35,0.25
SIM-0072-S3,72,ANO-0188,2024-04-03 11:43,Benguerir,S3 — Redistribution stock,-0.6,-11.5,-35.5,1.0998,0.3553,0.8467,True,0.4,0.35,0.25
SIM-0073-S1,73,ANO-0076,2024-06-07 15:18,Youssoufia,S1 — Attendre,2.1,1.5,25.2,0.6498,-0.2525,0.4178,False,0.4,0.35,0.25
SIM-0073-S2,73,ANO-0076,2024-06-07 15:18,Youssoufia,S2 — Fournisseur alternatif,-0.84,17.0,3.2,1.1404,-0.032,0.6587,False,0.4,0.35,0.25
SIM-0073-S3,73,ANO-0076,2024-06-07 15:18,Youssoufia,S3 — Redistribution stock,-1.7,-13.7,-31.7,1.2841,0.3167,0.9143,True,0.4,0.35,0.25
SIM-0074-S1,74,ANO-0081,2024-12-10 23:21,Laayoune,S1 — Attendre,2.43,-2.3,15.5,0.5948,-0.1552,0.4394,False,0.4,0.35,0.25
SIM-0074-S2,74,ANO-0081,2024-12-10 23:21,Laayoune,S2 — Fournisseur alternatif,0.41,16.8,-11.7,0.9312,0.1174,0.6276,False,0.4,0.35,0.25
SIM-0074-S3,74,ANO-0081,2024-12-10 23:21,Laayoune,S3 — Redistribution stock,-1.74,-10.4,-38.1,1.2905,0.3814,0.9288,True,0.4,0.35,0.25
SIM-0075-S1,75,ANO-0123,2024-09-10 15:06,Jorf Lasfar,S1 — Attendre,3.48,-1.8,24.4,0.4208,-0.2441,0.3376,False,0.4,0.35,0.25
SIM-0075-S2,75,ANO-0123,2024-09-10 15:06,Jorf Lasfar,S2 — Fournisseur alternatif,0.1,19.4,-2.1,0.9833,0.0207,0.6099,False,0.4,0.35,0.25
SIM-0075-S3,75,ANO-0123,2024-09-10 15:06,Jorf Lasfar,S3 — Redistribution stock,-1.21,-16.7,-27.5,1.2015,0.2746,0.8769,True,0.4,0.35,0.25
SIM-0076-S1,76,ANO-0073,2024-01-27 19:45,Casablanca Port,S1 — Attendre,3.3,2.6,10.8,0.4507,-0.1079,0.3863,False,0.4,0.35,0.25
SIM-0076-S2,76,ANO-0073,2024-01-27 19:45,Casablanca Port,S2 — Fournisseur alternatif,0.02,20.8,-0.7,0.9961,0.0073,0.6079,False,0.4,0.35,0.25
SIM-0076-S3,76,ANO-0073,2024-01-27 19:45,Casablanca Port,S3 — Redistribution stock,-1.01,-10.7,-37.9,1.1678,0.379,0.8798,True,0.4,0.35,0.25
SIM-0077-S1,77,ANO-0042,2024-03-20 10:08,Jorf Lasfar,S1 — Attendre,5.76,-2.6,25.1,0.0399,-0.2509,0.1849,False,0.4,0.35,0.25
SIM-0077-S2,77,ANO-0042,2024-03-20 10:08,Jorf Lasfar,S2 — Fournisseur alternatif,0.94,15.1,-6.7,0.8426,0.0675,0.5779,False,0.4,0.35,0.25
SIM-0077-S3,77,ANO-0042,2024-03-20 10:08,Jorf Lasfar,S3 — Redistribution stock,-0.5,-15.1,-31.8,1.083,0.3182,0.839,True,0.4,0.35,0.25
SIM-0078-S1,78,ANO-0165,2025-02-11 12:43,Safi,S1 — Attendre,5.16,1.9,21.0,0.1402,-0.2096,0.2279,False,0.4,0.35,0.25
SIM-0078-S2,78,ANO-0165,2025-02-11 12:43,Safi,S2 — Fournisseur alternatif,-0.82,13.1,-11.8,1.1368,0.1182,0.7171,False,0.4,0.35,0.25
SIM-0078-S3,78,ANO-0165,2025-02-11 12:43,Safi,S3 — Redistribution stock,-0.47,-11.3,-36.6,1.0791,0.3659,0.8416,True,0.4,0.35,0.25
SIM-0079-S1,79,ANO-0175,2024-02-13 21:30,Casablanca Port,S1 — Attendre,4.23,-4.5,26.9,0.2949,-0.2686,0.2857,False,0.4,0.35,0.25
SIM-0079-S2,79,ANO-0175,2024-02-13 21:30,Casablanca Port,S2 — Fournisseur alternatif,-0.55,10.6,-10.6,1.0915,0.1062,0.6997,False,0.4,0.35,0.25
SIM-0079-S3,79,ANO-0175,2024-02-13 21:30,Casablanca Port,S3 — Redistribution stock,-1.53,-18.5,-26.9,1.2558,0.2694,0.9033,True,0.4,0.35,0.25
SIM-0080-S1,80,ANO-0083,2025-01-23 19:33,Benguerir,S1 — Attendre,3.55,1.3,17.9,0.4083,-0.1792,0.3473,False,0.4,0.35,0.25
SIM-0080-S2,80,ANO-0083,2025-01-23 19:33,Benguerir,S2 — Fournisseur alternatif,0.02,14.3,-14.5,0.9966,0.1453,0.6681,False,0.4,0.35,0.25
SIM-0080-S3,80,ANO-0083,2025-01-23 19:33,Benguerir,S3 — Redistribution stock,-0.57,-15.9,-39.0,1.0951,0.3898,0.8716,True,0.4,0.35,0.25
SIM-0081-S1,81,ANO-0010,2024-06-04 10:35,Jorf Lasfar,S1 — Attendre,2.84,0.8,10.1,0.5274,-0.1014,0.4234,False,0.4,0.35,0.25
SIM-0081-S2,81,ANO-0010,2024-06-04 10:35,Jorf Lasfar,S2 — Fournisseur alternatif,0.4,18.7,-7.6,0.9327,0.0764,0.6104,False,0.4,0.35,0.25
SIM-0081-S3,81,ANO-0010,2024-06-04 10:35,Jorf Lasfar,S3 — Redistribution stock,-0.2,-18.4,-36.8,1.0338,0.3681,0.8486,True,0.4,0.35,0.25
SIM-0082-S1,82,ANO-0161,2025-02-20 12:03,Khouribga,S1 — Attendre,4.98,-2.2,21.1,0.1705,-0.2113,0.2498,False,0.4,0.35,0.25
SIM-0082-S2,82,ANO-0161,2025-02-20 12:03,Khouribga,S2 — Fournisseur alternatif,0.02,12.4,-11.0,0.9964,0.1097,0.6594,False,0.4,0.35,0.25
SIM-0082-S3,82,ANO-0161,2025-02-20 12:03,Khouribga,S3 — Redistribution stock,-0.78,-16.7,-35.1,1.1308,0.3509,0.8751,True,0.4,0.35,0.25
SIM-0083-S1,83,ANO-0031,2024-07-21 05:07,Safi,S1 — Attendre,4.6,-0.5,18.9,0.233,-0.1891,0.2782,False,0.4,0.35,0.25
SIM-0083-S2,83,ANO-0031,2024-07-21 05:07,Safi,S2 — Fournisseur alternatif,0.94,20.1,0.4,0.8441,-0.004,0.5444,False,0.4,0.35,0.25
SIM-0083-S3,83,ANO-0031,2024-07-21 05:07,Safi,S3 — Redistribution stock,-1.59,-18.9,-34.2,1.2651,0.3419,0.9339,True,0.4,0.35,0.25
SIM-0084-S1,84,ANO-0053,2024-03-23 21:35,Casablanca Port,S1 — Attendre,2.8,0.7,24.9,0.5332,-0.2495,0.3742,False,0.4,0.35,0.25
SIM-0084-S2,84,ANO-0053,2024-03-23 21:35,Casablanca Port,S2 — Fournisseur alternatif,0.67,20.1,2.7,0.889,-0.0273,0.5542,False,0.4,0.35,0.25
SIM-0084-S3,84,ANO-0053,2024-03-23 21:35,Casablanca Port,S3 — Redistribution stock,-0.36,-16.4,-39.2,1.0607,0.3918,0.8604,True,0.4,0.35,0.25
SIM-0085-S1,85,ANO-0065,2024-06-27 11:58,Jorf Lasfar,S1 — Attendre,2.87,-4.8,10.2,0.5221,-0.1025,0.4355,False,0.4,0.35,0.25
SIM-0085-S2,85,ANO-0065,2024-06-27 11:58,Jorf Lasfar,S2 — Fournisseur alternatif,0.66,22.9,-10.9,0.8901,0.1087,0.5975,False,0.4,0.35,0.25
SIM-0085-S3,85,ANO-0065,2024-06-27 11:58,Jorf Lasfar,S3 — Redistribution stock,-0.11,-16.1,-35.1,1.0177,0.3509,0.8279,True,0.4,0.35,0.25
SIM-0086-S1,86,ANO-0193,2024-10-30 12:11,Jorf Lasfar,S1 — Attendre,2.66,-0.1,21.2,0.5565,-0.2122,0.3985,False,0.4,0.35,0.25
SIM-0086-S2,86,ANO-0193,2024-10-30 12:11,Jorf Lasfar,S2 — Fournisseur alternatif,-0.43,24.8,2.1,1.0716,-0.0215,0.6214,False,0.4,0.35,0.25
SIM-0086-S3,86,ANO-0193,2024-10-30 12:11,Jorf Lasfar,S3 — Redistribution stock,-1.5,-13.8,-26.7,1.2505,0.2673,0.8839,True,0.4,0.35,0.25
SIM-0087-S1,87,ANO-0013,2024-01-25 05:36,Jorf Lasfar,S1 — Attendre,5.43,4.5,28.6,0.0952,-0.286,0.1773,False,0.4,0.35,0.25
SIM-0087-S2,87,ANO-0013,2024-01-25 05:36,Jorf Lasfar,S2 — Fournisseur alternatif,-0.39,15.7,-3.6,1.0655,0.0364,0.655,False,0.4,0.35,0.25
SIM-0087-S3,87,ANO-0013,2024-01-25 05:36,Jorf Lasfar,S3 — Redistribution stock,-1.68,-19.5,-36.8,1.2802,0.3677,0.9512,True,0.4,0.35,0.25
SIM-0088-S1,88,ANO-0190,2024-05-28 04:29,Safi,S1 — Attendre,5.51,-4.2,18.3,0.0824,-0.1835,0.2298,False,0.4,0.35,0.25
SIM-0088-S2,88,ANO-0190,2024-05-28 04:29,Safi,S2 — Fournisseur alternatif,-0.96,21.6,3.0,1.1592,-0.0297,0.6589,False,0.4,0.35,0.25
SIM-0088-S3,88,ANO-0190,2024-05-28 04:29,Safi,S3 — Redistribution stock,-1.4,-17.4,-26.0,1.2326,0.2605,0.8868,True,0.4,0.35,0.25
SIM-0089-S1,89,ANO-0163,2024-06-07 23:15,Khouribga,S1 — Attendre,4.98,1.8,10.6,0.1705,-0.1061,0.2766,False,0.4,0.35,0.25
SIM-0089-S2,89,ANO-0163,2024-06-07 23:15,Khouribga,S2 — Fournisseur alternatif,0.86,17.1,-14.7,0.8563,0.1471,0.6074,False,0.4,0.35,0.25
SIM-0089-S3,89,ANO-0163,2024-06-07 23:15,Khouribga,S3 — Redistribution stock,-1.83,-17.7,-27.0,1.3046,0.2695,0.9198,True,0.4,0.35,0.25
SIM-0090-S1,90,ANO-0143,2025-03-26 07:49,Casablanca Port,S1 — Attendre,3.09,-4.8,21.3,0.4846,-0.2126,0.3819,False,0.4,0.35,0.25
SIM-0090-S2,90,ANO-0143,2025-03-26 07:49,Casablanca Port,S2 — Fournisseur alternatif,-0.87,20.4,-10.7,1.1456,0.1069,0.7033,False,0.4,0.35,0.25
SIM-0090-S3,90,ANO-0143,2025-03-26 07:49,Casablanca Port,S3 — Redistribution stock,-1.2,-16.2,-39.4,1.2008,0.3944,0.9168,True,0.4,0.35,0.25
SIM-0091-S1,91,ANO-0120,2024-12-01 22:09,Laayoune,S1 — Attendre,3.65,4.7,21.5,0.3917,-0.2154,0.32,False,0.4,0.35,0.25
SIM-0091-S2,91,ANO-0120,2024-12-01 22:09,Laayoune,S2 — Fournisseur alternatif,-0.91,10.9,0.4,1.152,-0.0039,0.6848,False,0.4,0.35,0.25
SIM-0091-S3,91,ANO-0120,2024-12-01 22:09,Laayoune,S3 — Redistribution stock,-1.44,-17.2,-32.8,1.2397,0.3281,0.9126,True,0.4,0.35,0.25
SIM-0092-S1,92,ANO-0172,2024-07-26 14:32,Khouribga,S1 — Attendre,3.09,3.7,14.7,0.4854,-0.147,0.3837,False,0.4,0.35,0.25
SIM-0092-S2,92,ANO-0172,2024-07-26 14:32,Khouribga,S2 — Fournisseur alternatif,-0.1,10.0,-2.0,1.0173,0.02,0.6411,False,0.4,0.35,0.25
SIM-0092-S3,92,ANO-0172,2024-07-26 14:32,Khouribga,S3 — Redistribution stock,-0.25,-11.6,-33.5,1.0422,0.3347,0.817,True,0.4,0.35,0.25
SIM-0093-S1,93,ANO-0060,2025-01-14 10:48,Laayoune,S1 — Attendre,4.86,2.4,15.7,0.1896,-0.1573,0.2649,False,0.4,0.35,0.25
SIM-0093-S2,93,ANO-0060,2025-01-14 10:48,Laayoune,S2 — Fournisseur alternatif,-0.82,15.5,1.4,1.1372,-0.0141,0.6664,False,0.4,0.35,0.25
SIM-0093-S3,93,ANO-0060,2025-01-14 10:48,Laayoune,S3 — Redistribution stock,-0.91,-16.3,-26.5,1.1518,0.2647,0.8519,True,0.4,0.35,0.25
SIM-0094-S1,94,ANO-0038,2025-03-03 23:49,Jorf Lasfar,S1 — Attendre,3.28,1.4,18.1,0.4529,-0.1814,0.3642,False,0.4,0.35,0.25
SIM-0094-S2,94,ANO-0038,2025-03-03 23:49,Jorf Lasfar,S2 — Fournisseur alternatif,0.16,15.6,4.7,0.9733,-0.0467,0.5893,False,0.4,0.35,0.25
SIM-0094-S3,94,ANO-0038,2025-03-03 23:49,Jorf Lasfar,S3 — Redistribution stock,-0.47,-18.5,-29.9,1.0776,0.2991,0.8425,True,0.4,0.35,0.25
SIM-0095-S1,95,ANO-0139,2025-01-19 02:20,Casablanca Port,S1 — Attendre,3.63,4.6,11.7,0.3948,-0.1173,0.3558,False,0.4,0.35,0.25
SIM-0095-S2,95,ANO-0139,2025-01-19 02:20,Casablanca Port,S2 — Fournisseur alternatif,-0.49,12.1,3.5,1.0823,-0.0349,0.6438,False,0.4,0.35,0.25
SIM-0095-S3,95,ANO-0139,2025-01-19 02:20,Casablanca Port,S3 — Redistribution stock,-0.71,-15.5,-31.9,1.1182,0.3191,0.8548,True,0.4,0.35,0.25
SIM-0096-S1,96,ANO-0088,2024-05-07 14:19,Khouribga,S1 — Attendre,4.03,3.6,22.5,0.3291,-0.225,0.2942,False,0.4,0.35,0.25
SIM-0096-S2,96,ANO-0088,2024-05-07 14:19,Khouribga,S2 — Fournisseur alternatif,0.2,18.1,1.6,0.9671,-0.0164,0.5928,False,0.4,0.35,0.25
SIM-0096-S3,96,ANO-0088,2024-05-07 14:19,Khouribga,S3 — Redistribution stock,-1.68,-12.0,-37.9,1.2802,0.3791,0.9289,True,0.4,0.35,0.25
SIM-0097-S1,97,ANO-0178,2024-06-08 20:37,Laayoune,S1 — Attendre,3.59,3.2,27.6,0.4024,-0.2761,0.3065,False,0.4,0.35,0.25
SIM-0097-S2,97,ANO-0178,2024-06-08 20:37,Laayoune,S2 — Fournisseur alternatif,0.98,18.2,-4.6,0.8365,0.0461,0.5623,False,0.4,0.35,0.25
SIM-0097-S3,97,ANO-0178,2024-06-08 20:37,Laayoune,S3 — Redistribution stock,-0.85,-17.5,-31.7,1.1415,0.3174,0.8706,True,0.4,0.35,0.25
SIM-0098-S1,98,ANO-0059,2024-05-07 22:15,Casablanca Port,S1 — Attendre,4.74,2.9,19.8,0.2107,-0.1978,0.258,False,0.4,0.35,0.25
SIM-0098-S2,98,ANO-0059,2024-05-07 22:15,Casablanca Port,S2 — Fournisseur alternatif,-0.35,22.5,-7.5,1.0582,0.0753,0.6536,False,0.4,0.35,0.25
SIM-0098-S3,98,ANO-0059,2024-05-07 22:15,Casablanca Port,S3 — Redistribution stock,-0.13,-14.8,-27.7,1.021,0.2771,0.7987,True,0.4,0.35,0.25
SIM-0099-S1,99,ANO-0090,2024-06-19 03:47,Jorf Lasfar,S1 — Attendre,5.0,1.9,29.8,0.1668,-0.2976,0.2079,False,0.4,0.35,0.25
SIM-0099-S2,99,ANO-0090,2024-06-19 03:47,Jorf Lasfar,S2 — Fournisseur alternatif,-0.55,19.7,-11.9,1.0914,0.1189,0.6871,False,0.4,0.35,0.25
SIM-0099-S3,99,ANO-0090,2024-06-19 03:47,Jorf Lasfar,S3 — Redistribution stock,-0.61,-12.5,-29.3,1.102,0.2926,0.8288,True,0.4,0.35,0.25
SIM-0100-S1,100,ANO-0028,2025-01-26 20:46,Laayoune,S1 — Attendre,3.98,4.2,23.9,0.3365,-0.239,0.291,False,0.4,0.35,0.25
SIM-0100-S2,100,ANO-0028,2025-01-26 20:46,Laayoune,S2 — Fournisseur alternatif,-0.39,21.3,-8.9,1.0645,0.0894,0.6631,False,0.4,0.35,0.25
SIM-0100-S3,100,ANO-0028,2025-01-26 20:46,Laayoune,S3 — Redistribution stock,-1.58,-13.6,-25.7,1.2636,0.2573,0.8849,True,0.4,0.35,0.25
SIM-0101-S1,101,ANO-0005,2024-05-28 08:37,Khouribga,S1 — Attendre,2.12,-3.8,13.7,0.6459,-0.1371,0.4702,False,0.4,0.35,0.25
